,0,1
0,ALCAM|1,BMP2_P12643
1,ALCAM|1,BMP5|1_P22003|1
2,ALCAM|1,CTGF|1_P29279|1
3,ALCAM|1,LYVE1_Q9Y5Y7
4,ALCAM|1,NRG1|1_Q02297|1
5,ALCAM|1,NRG1|6_Q02297|6
6,ALCAM|1,TGFB1||Cterminus_P01137||Cterminus
7,BCAN|1,BMP5|1_P22003|1
8,BCAN|1,IL13_P35225
9,BCAN|1,LYVE1_Q9Y5Y7
10,BCAN|1,NRG1|6_Q02297|6
11,BCAN|1,TNF_P01375
12,BGN,BMP5|1_P22003|1
13,BGN,CXCL12|Alpha_P48061|2
14,BGN,NRG1|6_Q02297|6
15,BGN,PTN_P21246
16,BGN,TGFB1||LAP_P01137||LAP
17,BGN,TNFRSF11B_O00300
18,CD44|1,ANGPT2|1_O15123|1
19,CD44|1,BMP5|1_P22003|1
20,CD44|1,BMP6_P22004
21,CD44|1,CTGF|1_P29279|1
22,CD44|1,FLT3LG|1_P49771|1
23,CD44|1,HGF|1_P14210|1
24,CD44|1,IGFBP3|1_P17936|1
25,CD44|1,IL13_P35225
26,CD44|1,LYVE1_Q9Y5Y7
27,CD44|1,NRG1|6_Q02297|6
28,CD44|1,TGFB1||Cterminus_P01137||Cterminus
29,CD44|1,TNFRSF11B_O00300
30,CDH15,BMP2_P12643
31,CDH15,NRG1|1_Q02297|1
32,CDH15,NRG1|6_Q02297|6
33,CDH15,PTN_P21246
34,CDH1|1,ANGPT2|1_O15123|1
35,CDH1|1,BMP2_P12643
36,CDH1|1,BMP6_P22004
37,CDH1|1,CTGF|1_P29279|1
38,CDH1|1,FLT3LG|1_P49771|1
39,CDH1|1,IL13_P35225
40,CDH1|1,LYVE1_Q9Y5Y7
41,CDH1|1,NRG1|1_Q02297|1
42,CDH1|1,NRG1|6_Q02297|6
43,CDH20,BMP2_P12643
44,CDH20,BMP5|1_P22003|1
45,CDH20,CTGF|1_P29279|1
46,CDH20,CXCL12|Alpha_P48061|2
47,CDH20,FLT3LG|1_P49771|1
48,CDH20,LEP_P41159
49,CDH20,LYVE1_Q9Y5Y7
50,CDH20,NRG1|1_Q02297|1
51,CDH20,NRG1|6_Q02297|6
52,CDH20,TGFB1||Cterminus_P01137||Cterminus
